3,3.13977225878154,11.8624034241488
5,3.59843028604407,12.0658710761848
7,3.81938350403851,11.6351573753994
9,4.10571060999274,11.2071557825278
11,4.50440579641273,10.9495597187713
13,4.98119026813325,10.8843953130413
15,5.59688056757163,11.0858041966071
17,6.22524614764778,11.3946526921032
19,6.86406084318479,11.7806739112583
21,7.52546737758742,12.2246681067442
23,8.12226699795912,12.6356087734972
25,8.63985175029033,12.9949665084234
27,9.11956852600807,13.32982955008
29,9.33432836183871,13.4741477859902
31,9.18267915268564,13.3578510789999
